,Unnamed: 0,ID_DELEGACIA,NOME_DEPARTAMENTO,NOME_SECCIONAL,NOME_DELEGACIA,NOME_MUNICIPIO,ANO_BO,NUM_BO,VERSAO,NOME_DEPARTAMENTO_CIRC,NOME_SECCIONAL_CIRC,NOME_DELEGACIA_CIRC,NOME_MUNICIPIO_CIRC,DATA_OCORRENCIA_BO,HORA_OCORRENCIA,DESCRICAO_APRESENTACAO,DATAHORA_REGISTRO_BO,DATA_COMUNICACAO_BO,DATAHORA_IMPRESSAO_BO,DESCR_PERIODO,AUTORIA_BO,FLAG_INTOLERANCIA,TIPO_INTOLERANCIA,FLAG_FLAGRANTE,FLAG_STATUS,DESC_LEI,FLAG_ATO_INFRACIONAL,RUBRICA,DESCR_CONDUTA,DESDOBRAMENTO,CIRCUNSTANCIA,DESCR_TIPOLOCAL,DESCR_SUBTIPOLOCAL,CIDADE,BAIRRO,CEP,LOGRADOURO_VERSAO,LOGRADOURO,NUMERO_LOGRADOURO,LATITUDE,LONGITUDE,CONT_OBJETO,DESCR_MODO_OBJETO,DESCR_TIPO_OBJETO,DESCR_SUBTIPO_OBJETO,DESCR_UNIDADE,QUANTIDADE_OBJETO,MARCA_OBJETO,FLAG_BLOQUEIO,FLAG_DESBLOQUEIO,MES,ANO,PERIODO_DO_DIA
3551,3551,900023,DIPOL - DEPTO DE INTELIGENCIA,DELEGACIA ELETRONICA,DELEGACIA ELETRONICA 3,RIBEIRAO PRETO,2023,MN5170,1,DEINTER 3 - RIBEIRAO PRETO,DEL.SEC.RIBEIRAO PRETO,02º D.P. RIBEIRAO PRETO,RIBEIRAO PRETO,2023-09-21,14:00:00,Pela Parte Interessada,2023-09-21,2023-09-21,2023-09-21,,D,N,,N,CONSUMADO,Código Penal,N,Roubo (art. 157),Estabelecimento-Outros,,"§ 2º, II - há concurso de duas ou mais pessoas",Via Pública,Via Pública,RIBEIRAO PRETO,CAMPOS ELISEOS,14076110.0,1,AVENIDA PARIS,843.0,-21.1645186219999,-47.800931388,1004798831,Subtraído,Telecomunicação,Telefone Celular,,1,Apple,N,N,9,2023,Tarde
3552,3552,900023,DIPOL - DEPTO DE INTELIGENCIA,DELEGACIA ELETRONICA,DELEGACIA ELETRONICA 3,RIBEIRAO PRETO,2023,MN5170,1,DEINTER 3 - RIBEIRAO PRETO,DEL.SEC.RIBEIRAO PRETO,02º D.P. RIBEIRAO PRETO,RIBEIRAO PRETO,2023-09-21,14:00:00,Pela Parte Interessada,2023-09-21,2023-09-21,2023-09-21,,D,N,,N,CONSUMADO,Código Penal,N,Roubo (art. 157),Estabelecimento-Outros,,"§ 2º, II - há concurso de duas ou mais pessoas",Via Pública,Via Pública,RIBEIRAO PRETO,CAMPOS ELISEOS,14076110.0,1,AVENIDA PARIS,843.0,-21.1645186219999,-47.800931388,1004798832,Subtraído,Telecomunicação,Telefone Celular,,1,Xiaomi,N,N,9,2023,Tarde
3553,3553,900023,DIPOL - DEPTO DE INTELIGENCIA,DELEGACIA ELETRONICA,DELEGACIA ELETRONICA 3,RIBEIRAO PRETO,2023,MN5170,1,DEINTER 3 - RIBEIRAO PRETO,DEL.SEC.RIBEIRAO PRETO,02º D.P. RIBEIRAO PRETO,RIBEIRAO PRETO,2023-09-21,14:00:00,Pela Parte Interessada,2023-09-21,2023-09-21,2023-09-21,,D,N,,N,CONSUMADO,Código Penal,N,Roubo (art. 157),Estabelecimento-Outros,,"§ 2ºA, I - Se a violência ou ameaça é exercida com emprego de arma de fogo ",Via Pública,Via Pública,RIBEIRAO PRETO,CAMPOS ELISEOS,14076110.0,1,AVENIDA PARIS,843.0,-21.1645186219999,-47.800931388,1004798831,Subtraído,Telecomunicação,Telefone Celular,,1,Apple,N,N,9,2023,Tarde
3554,3554,900020,DIPOL - DEPTO DE INTELIGENCIA,DELEGACIA ELETRONICA,DELEGACIA ELETRONICA,RIBEIRAO PRETO,2023,MN6249,1,DEINTER 3 - RIBEIRAO PRETO,DEL.SEC.RIBEIRAO PRETO,02º D.P. RIBEIRAO PRETO,RIBEIRAO PRETO,2023-09-12,12:40:00,Pela Parte Interessada,2023-09-21,2023-09-21,2023-09-21,,D,N,,N,CONSUMADO,Código Penal,N,Roubo (art. 157),Outros,,,Via Pública,Via Pública,RIBEIRAO PRETO,CAMPOS ELISEOS,14080090.0,1,RUA LUÍS BARRETO,2049.0,-21.149215904,-47.7969678379999,1004799578,Subtraído,Telecomunicação,Telefone Celular,,1,Motorola,S,N,9,2023,Tarde
3555,3555,100929,DEINTER 3 - RIBEIRAO PRETO,DEL.SEC.RIBEIRAO PRETO,CPJ INTEGRADA RIB. PRETO,RIBEIRAO PRETO,2023,MN6488,1,DEINTER 3 - RIBEIRAO PRETO,DEL.SEC.RIBEIRAO PRETO,02º D.P. RIBEIRAO PRETO,RIBEIRAO PRETO,2023-09-08,,Pela Parte Interessada,2023-09-21,2023-09-21,2023-09-21,A noite,D,N,,N,CONSUMADO,Código Penal,N,Furto (art. 155),Outros,,,Via Pública,Via Pública,RIBEIRAO PRETO,CENTRO,14030555.0,1,AVENIDA JERÔNIMO GONÇALVES,0.0,-21.169422412,-47.8110213579999,1004799806,Subtraído,Telecomunicação,Telefone Celular,Unidade,1,Outros,S,N,9,2023,
3556,3556,900020,DIPOL - DEPTO DE INTELIGENCIA,DELEGACIA ELETRONICA,DELEGACIA ELETRONICA,RIBEIRAO PRETO,2023,MN9708,1,DEINTER 3 - RIBEIRAO PRETO,DEL.SEC.RIBEIRAO PRETO,02º D.P. RIBEIRAO PRETO,RIBEIRAO PRETO,2023-09-21,,Pela Parte Interessada,2023-09-22,2023-09-21,2023-09-22,A tarde,D,N,,N,CONSUMADO,Código Penal,N,Furto (art. 155),Outros,,,Via Pública,Via Pública,RIBEIRAO PRETO,JARDIM FLORESTAN FERNANDES,14079300.0,1,ESTRADA ANTÔNIA MUGNATTO MARINCEK,3250.0,,,1004801895,Subtraído,Telecomunicação,Telefone Celular,,1,Motorola,S,N,9,2023,
3557,3557,900020,DIPOL - DEPTO DE INTELIGENCIA,DELEGACIA ELETRONICA,DELEGACIA ELETRONICA,RIBEIRAO PRETO,2023,MO0411,1,DEINTER 3 - RIBEIRAO PRETO,DEL.SEC.RIBEIRAO PRETO,02º D.P. RIBEIRAO PRETO,RIBEIRAO PRETO,2023-09-01,,Pela Parte Interessada,2023-09-22,2023-09-21,2023-09-22,A tarde,D,N,,N,CONSUMADO,Não Criminal,N,Perda/Extravio,,,,Via Pública,Via Pública,RIBEIRAO PRETO,VILA MARIANA,14075320.0,1,RUA BUENOS AÍRES,861.0,-21.1413093,-47.7888856,1004802639,Subtraído,Telecomunicação,Telefone Celular,,1,Samsung,N,N,9,2023,
3558,3558,900023,DIPOL - DEPTO DE INTELIGENCIA,DELEGACIA ELETRONICA,DELEGACIA ELETRONICA 3,RIBEIRAO PRETO,2023,MO8803,1,DEINTER 3 - RIBEIRAO PRETO,DEL.SEC.RIBEIRAO PRETO,02º D.P. RIBEIRAO PRETO,RIBEIRAO PRETO,2023-09-21,14:00:00,Pela Parte Interessada,2023-09-22,2023-09-22,2023-09-22,,D,N,,N,CONSUMADO,Código Penal,N,Roubo (art. 157),Estabelecimento-Outros,,,Via Pública,Via Pública,RIBEIRAO PRETO,CAMPOS ELISEOS,14076110.0,1,AVENIDA PARIS,843.0,-21.1645186219999,-47.800931388,1004807762,Subtraído,Telecomunicação,Telefone Celular,,1,Xiaomi,N,N,9,2023,Tarde
3559,3559,900020,DIPOL - DEPTO DE INTELIGENCIA,DELEGACIA ELETRONICA,DELEGACIA ELETRONICA,RIBEIRAO PRETO,2023,MO8960,1,DEINTER 3 - RIBEIRAO PRETO,DEL.SEC.RIBEIRAO PRETO,02º D.P. RIBEIRAO PRETO,RIBEIRAO PRETO,2023-09-22,,Pela Parte Interessada,2023-09-22,2023-09-22,2023-09-22,Pela manhã,D,N,,N,CONSUMADO,Código Penal,N,Furto (art. 155),Outros,,,Via Pública,Via Pública,RIBEIRAO PRETO,CAMPOS ELISEOS,14085000.0,1,AVENIDA DA SAUDADE,901.0,-21.1644313556562,-47.8033872378437,1004807851,Subtraído,Telecomunicação,Telefone Celular,,1,Samsung,S,N,9,2023,
3560,3560,100919,DEINTER 3 - RIBEIRAO PRETO,DEL.SEC.RIBEIRAO PRETO,CPJ RIBEIRAO PRETO,RIBEIRAO PRETO,2023,MQ4486,1,DEINTER 3 - RIBEIRAO PRETO,DEL.SEC.RIBEIRAO PRETO,02º D.P. RIBEIRAO PRETO,RIBEIRAO PRETO,2023-09-24,16:00:54,Pela Parte Interessada,2023-09-24,2023-09-24,2023-09-24,,D,N,,N,CONSUMADO,Código Penal,N,Furto (art. 155),Transeunte,,,Lazer e Recreação,Parque/Bosque/Horto/Reserva,RIBEIRAO PRETO,JD MOSTEIRO,14085250.0,1,RUA DA LIBERDADE,1.0,-21.1734984559999,-47.803536875,1004818979,Subtraído,Telecomunicação,Telefone Celular,Unidade,1,Apple,N,N,9,2023,Tarde
